Leitungsfunktion;Status seit;Eigentum;Teilnetz;Druckzone;Bauart;Vorschieber;Leistung (m³/h);Bemerkung;Nennweite DN [mm];Nenndruck (PN);Verbindungsart;Einbaujahr;Postleitzahl;Gemeindename;Ortsteilname;Straßenname;Strassenschlüssel;Hausnr;Hausnr-Ergänzung;Gebäudelage;Gebäudenutzung;Name I;Name II;Benutzeridentifikation;WA Leitungsabschnitt;X B Position ETRS89 Zone 32;Y B Position ETRS89 Zone 32;X B Punkt AW ETRS89 Zone 32;Y B Punkt AW ETRS89 Zone 32;Id;Latitude;Longitude;;
Versorgungsleitung;23.09.08;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;ja;101,719;Leistung der Hydranten nicht aufsummieren!;80;PN 16;(Fl) Flansch;2008;90475;Nürnberg;Altenfurt;Wittelsbacherstr.;511372000014;29;;;Einfamilienhaus;"VW;Versorgungsleitung;in Betrieb;01.01.2008;80";"(UH) Unterflurhydrant;N-ERGIE;20318280;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;Wittelsbacherstr.;29;";"VW;Versorgungsleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;17.10.2008;(HOB) Hoher Bühl;(GGG) duktiles Gußeisen ZM;80;PN 16;1.500 m;2.282 m;BP:OK ÜP:OK  NL:OK ;;;";657749.329 m;5475194.956 m;;;20318280;49.408974;11.174679;;
Versorgungsleitung;27.08.15;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;96,375;Leistung der Hydranten nicht aufsummieren!;80;PN 16;(Fl) Flansch;2015;90475;Nürnberg;Altenfurt;Wittelsbacherstr.;511372000014;120;;;Einfamilienhaus;"VW;Versorgungsleitung;in Betrieb;27.08.2015;100";"(UH) Unterflurhydrant;N-ERGIE;25907475;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;Wittelsbacherstr.;120;";"VW;Versorgungsleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1949;(HOB) Hoher Bühl;(GG) Grauguß;100;PN 10;166.500 m;166.444 m;BP:OK ÜP:N.OK  NL:OK ;;;";658049.655 m;5474562.805 m;;;25907475;49.403214;11.178564;;
Versorgungsleitung;10.07.25;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;;;80;PN 16;(Fl) Flansch;2025;90475;Nürnberg;Fischbach;Hirtenwiesenstr.;504945600001;9;;;Einfamilienhaus;"VW;Versorgungsleitung;in Betrieb;10.07.2025;100";"(UH) Unterflurhydrant;N-ERGIE;37708629;(37)Fischbach";"Nürnberg;Fischbach;Hirtenwiesenstr.;9;";"VW;Versorgungsleitung;(37)Fischbach;in Betrieb;01.01.1950;(HOB) Hoher Bühl;(GG) Grauguß;100;PN 10;101.000 m;100.518 m;BP:OK ÜP:OK  NL:OK ;;;";659349.862 m;5476540.971 m;;;37708629;49.420656;11.197266;;
Versorgungsleitung;10.11.10;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;;;80;PN 16;(Fl) Flansch;2010;90475;Nürnberg;Altenfurt;Hennebergerstr.;504743500002;24;;;Einfamilienhaus;"VW;Versorgungsleitung;in Betrieb;01.01.2010;80";"(UH) Unterflurhydrant;N-ERGIE;22202294;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;Hennebergerstr.;24;";"VW;Versorgungsleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;10.11.2010;(HOB) Hoher Bühl;(GGG) duktiles Gußeisen ZM;80;PN 16;1.450 m;2.001 m;BP:OK ÜP:OK  NL:OK ;;;";657439.300 m;5475071.616 m;;;22202294;49.407946;11.170359;;
Hydrantenleitung;29.03.07;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(OH) Überflurhydrant;nein;172,125;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;2007;90475;Nürnberg;Altenfurt;Oelser Str.;508036200004;4;;;Hotel;"VW;Hydrantenleitung;in Betrieb;01.01.2007;100";"(OH) Überflurhydrant;N-ERGIE;1937251;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;Oelser Str.;4;";"VW;Hydrantenleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1990;(HOB) Hoher Bühl;(GGG) duktiles Gußeisen ZM;100;PN 16;1.200 m;0.986 m;BP:OK ÜP:OK  NL:OK ;;;";656913.816 m;5475007.902 m;;;1937251;49.407509;11.163095;;
Versorgungsleitung;14.11.17;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(UH) Unterflurhydrant;ja;;;80;PN 16;(Fl) Flansch;2017;90475;Nürnberg;Fischbach;Bärenbühlgraben;502361100001;35;;;Einfamilienhaus;"VW;Versorgungsleitung;in Betrieb;14.11.2017;80";"(UH) Unterflurhydrant;N-ERGIE;28209850;(37)Fischbach";"Nürnberg;Fischbach;Bärenbühlgraben;35;";"VW;Versorgungsleitung;(37)Fischbach;in Betrieb;27.09.2004;(HOB) Hoher Bühl;(GGG) duktiles Gußeisen ZM;80;PN 16;1.000 m;2.001 m;BP:OK ÜP:OK  NL:OK ;;;";658612.405 m;5477110.063 m;;;28209850;49.425963;11.187333;;
Hydrantenleitung;01.01.01;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;( ) Gartenhydrant;ja;;;40;PN 16;unbekannt;2001;90475;Nürnberg;Altenfurt;Wohlauer Str.;511390600003;;;;;"VW;Hydrantenleitung;in Betrieb;01.01.2001;40";"( ) Gartenhydrant;N-ERGIE;2688241;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;Wohlauer Str.;;";"VW;Hydrantenleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1949;(HOB) Hoher Bühl;(St) Stahl;40;PN 16;5.600 m;5.612 m;BP:OK ÜP:N.OK  NL:OK ;;;";657232.129 m;5475499.348 m;;;2688241;49.411844;11.167675;;
Versorgungsleitung;01.01.92;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(OH) Überflurhydrant;nein;115,406;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;1992;90475;Nürnberg;Fischbach;Leskowstr.;506936200001;6;;;Mehrfamilienhaus;"VW;Versorgungsleitung;in Betrieb;01.01.1992;80";"(OH) Überflurhydrant;N-ERGIE;2787405;(37)Fischbach";"Nürnberg;Fischbach;Leskowstr.;6;";"VW;Versorgungsleitung;(37)Fischbach;in Betrieb;01.01.1992;(HOB) Hoher Bühl;(GGG) duktiles Gußeisen ZM;80;PN 16;3.400 m;3.718 m;BP:OK ÜP:OK  NL:OK ;;;";658828.143 m;5476326.947 m;;;2787405;49.418868;11.189992;;
Hydrantenleitung;01.01.01;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(OH) Überflurhydrant;ja;134,719;Leistung der Hydranten nicht aufsummieren! ;100;PN 16;(Fl) Flansch;2001;90475;Nürnberg;Fischbach;Pellergasse;508299200001;4;;;Zweifamilienhaus;"VW;Hydrantenleitung;in Betrieb;01.01.2001;100";"(OH) Überflurhydrant;N-ERGIE;2802554;(37)Fischbach";"Nürnberg;Fischbach;Pellergasse;4;";"VW;Hydrantenleitung;(37)Fischbach;in Betrieb;01.01.1979;(HOB) Hoher Bühl;(GGG) duktiles Gußeisen ZM;100;PN 16;2.800 m;2.779 m;BP:OK ÜP:OK  NL:OK ;;;";659013.371 m;5476604.415 m;;;2802554;49.421314;11.192656;;
Hydrantenleitung;01.01.86;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(OH) Überflurhydrant;ja;189,281;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;1986;90475;Nürnberg;Altenfurt;Wohlauer Str.;511390600003;22;;;Zweifamilienhaus;"VW;Hydrantenleitung;in Betrieb;01.01.1986;100";"(OH) Überflurhydrant;N-ERGIE;2684880;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;Wohlauer Str.;22;";"VW;Hydrantenleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1949;(HOB) Hoher Bühl;(GG) Grauguß;100;PN 10;3.600 m;3.589 m;BP:OK ÜP:OK  NL:OK ;;;";657113.917 m;5475399.691 m;;;2684880;49.410979;11.166007;;
