Leitungsfunktion;Status seit;Eigentum;Teilnetz;Druckzone;Bauart;Vorschieber;Leistung (m³/h);Bemerkung;Nennweite DN [mm];Nenndruck (PN);Verbindungsart;Einbaujahr;Postleitzahl;Gemeindename;Ortsteilname;Straßenname;Strassenschlüssel;Hausnr;Hausnr-Ergänzung;Gebäudelage;Gebäudenutzung;Name I;Name II;Benutzeridentifikation;WA Leitungsabschnitt;X B Position ETRS89 Zone 32;Y B Position ETRS89 Zone 32;X B Punkt AW ETRS89 Zone 32;Y B Punkt AW ETRS89 Zone 32;Id;Latitude;Longitude;;
Hydrantenleitung;01.01.91;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(OH) Überflurhydrant;nein;136,219;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;1991;90475;Nürnberg;Altenfurt;Raudtener Str.;508678400001;9;;;Fabrik,Industrie;"VW;Hydrantenleitung;in Betrieb;01.01.1991;80";"(OH) Überflurhydrant;N-ERGIE;2683443;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;Raudtener Str.;9;";"VW;Hydrantenleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1991;(HOB) Hoher Bühl;(GGG) duktiles Gußeisen ZM;80;PN 16;1.884 m;1.882 m;BP:OK ÜP:OK  NL:OK ;;;";656811.944 m;5475597.367 m;;;2683443;49.412833;11.161925;;
Hydrantenleitung;01.01.02;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(OH) Überflurhydrant;nein;204;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;2002;90475;Nürnberg;Altenfurt;Wohlauer Str.;511390600003;15;;;Fabrik,Industrie;"VW;Hydrantenleitung;in Betrieb;01.01.2002;100";"(OH) Überflurhydrant;N-ERGIE;4946092;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;Wohlauer Str.;15;";"VW;Hydrantenleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1949;(HOB) Hoher Bühl;(GG) Grauguß;100;PN 10;0.675 m;0.675 m;BP:OK ÜP:OK  NL:OK ;;;";657032.232 m;5475327.177 m;;;4946092;49.410348;11.164853;;
Versorgungsleitung;26.10.16;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(OH) Überflurhydrant;nein;40,125;Leistung der Hydranten nicht aufsummieren!;80;PN 16;(Fl) Flansch;2016;90475;Nürnberg;Altenfurt;Oelser Str.;508036200004;8919;;;Hydrant;"VW;Versorgungsleitung;in Betrieb;26.10.2016;100";"(OH) Überflurhydrant;N-ERGIE;27080910;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;Oelser Str.;8919;";"VW;Versorgungsleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1949;(HOB) Hoher Bühl;(GG) Grauguß;100;PN 10;494.477 m;494.959 m;BP:OK ÜP:N.OK  NL:OK ;;;";657572.262 m;5474343.601 m;;;27080910;49.401368;11.171902;;
Versorgungsleitung;01.01.86;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;107,625;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;1986;90475;Nürnberg;Altenfurt;Von-Soden-Str.;510800900001;1;a;;Mehrfamilienhaus;"VW;Versorgungsleitung;in Betrieb;01.01.1986;100";"(UH) Unterflurhydrant;N-ERGIE;1974452;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;Von-Soden-Str.;1 a;";"VW;Versorgungsleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1949;(HOB) Hoher Bühl;(GG) Grauguß;100;PN 10;65.262 m;64.912 m;BP:OK ÜP:N.OK  NL:OK ;;;";657956.211 m;5474991.225 m;;;1974452;49.407089;11.177448;;
Hydrantenleitung;22.11.07;N-ERGIE;(35)Langwasser Süd;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;124,875;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;2007;90475;Nürnberg;Moorenbrunn;Schreiberhauer Str.;509491400001;5;;;Verwaltung, Büro;"VW;Hydrantenleitung;in Betrieb;01.01.2007;80";"(UH) Unterflurhydrant;N-ERGIE;1933816;(35)Langwasser Süd";"Nürnberg;Moorenbrunn;Schreiberhauer Str.;5;";"VW;Hydrantenleitung;(35)Langwasser Süd;in Betrieb;01.01.1986;(HOB) Hoher Bühl;(GGG) duktiles Gußeisen ZM;80;PN 16;8.300 m;8.299 m;BP:OK ÜP:OK  NL:OK ;;;";656650.871 m;5474331.588 m;;;1933816;49.401497;11.159207;;
Versorgungsleitung;19.04.06;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;108,75;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;2006;90475;Nürnberg;Moorenbrunn;Salzburger Str.;509165900020;2;;;Einfamilienhaus;"VW;Versorgungsleitung;in Betrieb;01.01.2006;100";"(UH) Unterflurhydrant;N-ERGIE;1958091;(36)Altenfurt/Moorenbrunn";"Nürnberg;Moorenbrunn;Salzburger Str.;2;";"VW;Versorgungsleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1972;(HOB) Hoher Bühl;(PVC) Polyvinylchlorid;100;PN 10;90.400 m;92.187 m;BP:OK ÜP:OK  NL:OK ;;;";657693.752 m;5474201.113 m;;;1958091;49.400055;11.173519;;
Versorgungsleitung;06.06.14;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;80,25;Leistung der Hydranten nicht aufsummieren!;80;PN 16;(Fl) Flansch;2014;90475;Nürnberg;Moorenbrunn;Salzburger Str.;509165900020;49;;;Einfamilienhaus;"VW;Versorgungsleitung;in Betrieb;06.06.2014;150";"(UH) Unterflurhydrant;N-ERGIE;24876271;(36)Altenfurt/Moorenbrunn";"Nürnberg;Moorenbrunn;Salzburger Str.;49;";"VW;Versorgungsleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1972;(HOB) Hoher Bühl;(PVC) Polyvinylchlorid;150;PN 10;13.500 m;13.939 m;BP:OK ÜP:OK  NL:OK ;;;";657509.178 m;5474045.477 m;;;24876271;49.398704;11.170915;;
Anschlussleitung, mitversorgt;01.01.96;Stadt Nürnberg;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(TWB) Trinkwasserbrunnen;ja;;Kunst im Außenbereich (Markus Kronberger) - Moorenbrunn, Entnahmestelle 1;15;unbekannt;unbekannt;1996;90475;Nürnberg;Moorenbrunn;Klagenfurter Str.;506179200012;4;;;Einfamilienhaus;"AW;Anschlussleitung, mitversorgt;in Betrieb;01.01.1996;15";"(TWB) Trinkwasserbrunnen;Stadt Nürnberg;31400832;(36)Altenfurt/Moorenbrunn";"Nürnberg;Moorenbrunn;Klagenfurter Str.;4;";"AW;Anschlussleitung, mitversorgt;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1996;(HOB) Hoher Bühl;(PEh) Polyäthylen hart;15;PN 10;1.100 m;23.117 m;BP:OK ÜP:OK  NL:OK ;;;";657768.623 m;5473960.343 m;657768.623 m;5473960.343 m;31400832;49.397872;11.174454;;
Hydrantenleitung;01.01.01;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(OH) Überflurhydrant;nein;111,375;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;2001;90475;Nürnberg;Moorenbrunn;Leinbühlstr.;506893300001;7;;;Einfamilienhaus;"VW;Hydrantenleitung;in Betrieb;01.01.2001;100";"(OH) Überflurhydrant;N-ERGIE;4457393;(36)Altenfurt/Moorenbrunn";"Nürnberg;Moorenbrunn;Leinbühlstr.;7;";"VW;Hydrantenleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1949;(HOB) Hoher Bühl;(GG) Grauguß;100;PN 10;0.455 m;0.455 m;BP:OK ÜP:OK  NL:OK ;;;";657427.003 m;5473591.815 m;;;4457393;49.394648;11.169603;;
Hydrantenleitung;04.08.16;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;166,875;Leistung der Hydranten nicht aufsummieren!;80;PN 16;(Fl) Flansch;2016;90475;Nürnberg;Altenfurt;Habsburgerstr.;504316700011;30;;;Mehrfamilienhaus;"VW;Hydrantenleitung;in Betrieb;04.08.2016;100";"(UH) Unterflurhydrant;N-ERGIE;26931587;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;Habsburgerstr.;30;";"VW;Versorgungsleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;04.08.2016;(HOB) Hoher Bühl;125*11,4 PE-100;100;PN 10;19.581 m;19.582 m;BP:OK ÜP:OK  NL:OK ;;;";657422.168 m;5474916.748 m;;;26931587;49.406558;11.170062;;
Versorgungsleitung;23.10.12;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;75,75;Leistung der Hydranten nicht aufsummieren!;80;PN 16;(Fl) Flansch;2012;90475;Nürnberg;Fischbach;Hirtenwiesenstr.;504945600001;2;f;;;"VW;Versorgungsleitung;in Betrieb;23.10.2012;100";"(UH) Unterflurhydrant;N-ERGIE;23244293;(37)Fischbach";"Nürnberg;Fischbach;Hirtenwiesenstr.;2 f;";"VW;Versorgungsleitung;(37)Fischbach;in Betrieb;01.01.1986;(HOB) Hoher Bühl;(GGG) duktiles Gußeisen ZM;100;PN 16;94.100 m;90.348 m;BP:OK ÜP:OK  NL:OK ;;;";659508.382 m;5476563.220 m;;;23244293;49.420814;11.199459;;
Versorgungsleitung;01.01.93;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;100,5;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;1993;90475;Nürnberg;Moorenbrunn;Ossiacher Str.;508119600002;2;;;Einfamilienhaus;"VW;Versorgungsleitung;in Betrieb;01.01.1993;80";"(UH) Unterflurhydrant;N-ERGIE;1916935;(36)Altenfurt/Moorenbrunn";"Nürnberg;Moorenbrunn;Ossiacher Str.;2;";"VW;Versorgungsleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1972;(HOB) Hoher Bühl;(PVC) Polyvinylchlorid;80;PN 10;3.900 m;1.554 m;BP:OK ÜP:OK  NL:OK ;;;";657449.545 m;5473792.310 m;;;1916935;49.396444;11.169993;;
Versorgungsleitung;01.01.91;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;114;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;1991;90475;Nürnberg;Moorenbrunn;Villacher Str.;510720700006;55;;;Einfamilienhaus;"VW;Versorgungsleitung;in Betrieb;01.01.1991;100";"(UH) Unterflurhydrant;N-ERGIE;1917148;(36)Altenfurt/Moorenbrunn";"Nürnberg;Moorenbrunn;Villacher Str.;55;";"VW;Versorgungsleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1972;(HOB) Hoher Bühl;(PVC) Polyvinylchlorid;100;PN 10;19.400 m;19.457 m;BP:OK ÜP:N.OK  NL:OK ;;;";657503.347 m;5473849.874 m;;;1917148;49.396947;11.170757;;
Hydrantenleitung;01.01.95;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(OH) Überflurhydrant;ja;172,875;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;1995;90475;Nürnberg;Moorenbrunn;Gleiwitzer Str.;503939100038;8912;;;Hydrant;"VW;Hydrantenleitung;in Betrieb;01.01.1995;100";"(OH) Überflurhydrant;N-ERGIE;1913492;(36)Altenfurt/Moorenbrunn";"Nürnberg;Moorenbrunn;Gleiwitzer Str.;8912;";"VW;Hydrantenleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1978;(HOB) Hoher Bühl;(St) Stahl ZM;100;PN 16;3.000 m;2.999 m;BP:OK ÜP:OK  NL:OK ;;;";657050.823 m;5473687.921 m;;;1913492;49.395609;11.164461;;
Versorgungsleitung;11.08.21;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;;;80;PN 16;(Fl) Flansch;2021;90475;Nürnberg;Altenfurt;An der Rundkapelle;501208400001;40;;;Einfamilienhaus;"VW;Versorgungsleitung;in Betrieb;11.08.2021;100";"(UH) Unterflurhydrant;N-ERGIE;31782707;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;An der Rundkapelle;40;";"VW;Versorgungsleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1949;(HOB) Hoher Bühl;(GG) Grauguß;100;PN 10;56.832 m;55.737 m;BP:OK ÜP:OK  NL:OK ;;;";657084.050 m;5474867.863 m;;;31782707;49.406206;11.165385;;
Versorgungsleitung;01.01.49;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;61,875;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;1949;90475;Nürnberg;Altenfurt;Hermann-Kolb-Str.;504784900002;32;;;Einfamilienhaus;"VW;Versorgungsleitung;in Betrieb;01.01.1949;80";"(UH) Unterflurhydrant;N-ERGIE;1965002;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;Hermann-Kolb-Str.;32;";"VW;Versorgungsleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1949;(HOB) Hoher Bühl;(GG) Grauguß;80;PN 10;19.200 m;19.240 m;BP:OK ÜP:N.OK  NL:OK ;;;";658034.941 m;5474495.259 m;;;1965002;49.402611;11.178335;;
Versorgungsleitung;01.01.86;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(OH) Überflurhydrant;nein;138,938;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;1986;90475;Nürnberg;Fischbach;Fischbacher Hauptstr.;503411700001;114;;;Kinder-,Jugendheim;"VW;Versorgungsleitung;in Betrieb;01.01.1986;unbekannt";"(OH) Überflurhydrant;N-ERGIE;2781444;(37)Fischbach";"Nürnberg;Fischbach;Fischbacher Hauptstr.;114;";"VW;Versorgungsleitung;(37)Fischbach;in Betrieb;01.01.2013;(HOB) Hoher Bühl;unbekannt;unbekannt;unbekannt;3.300 m;3.321 m;BP:OK ÜP:OK  NL:OK ;;;";658531.196 m;5476299.191 m;;;2781444;49.418696;11.185890;;
Versorgungsleitung;12.11.15;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;254,25;Leistung der Hydranten nicht aufsummieren!;80;PN 16;(Fl) Flansch;2015;90475;Nürnberg;Altenfurt;Am Graben;500497200019;12;;;Einfamilienhaus;"VW;Versorgungsleitung;in Betrieb;12.11.2015;100";"(UH) Unterflurhydrant;N-ERGIE;26490863;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;Am Graben;12;";"VW;Versorgungsleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;12.11.2015;(HOB) Hoher Bühl;125*11,4 PE-100;100;PN 10;0.550 m;2.579 m;BP:OK ÜP:OK  NL:OK ;;;";657621.883 m;5475299.574 m;;;26490863;49.409947;11.172965;;
Versorgungsleitung;20.07.15;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;;;80;PN 16;(Fl) Flansch;2015;90475;Nürnberg;Moorenbrunn;Kufsteiner Str.;506608200007;17;;;Einfamilienhaus;"VW;Versorgungsleitung;in Betrieb;20.07.2015;80";"(UH) Unterflurhydrant;N-ERGIE;26523069;(36)Altenfurt/Moorenbrunn";"Nürnberg;Moorenbrunn;Kufsteiner Str.;17;";"VW;Versorgungsleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;20.07.2015;(HOB) Hoher Bühl;90*5,4 PE-100;80;PN 10;5.500 m;6.417 m;BP:OK ÜP:OK  NL:OK ;;;";657561.569 m;5473926.847 m;;;26523069;49.397624;11.171589;;
Hydrantenleitung;22.09.14;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(OH) Überflurhydrant;ja;;;80;PN 16;(Fl) Flansch;2014;90475;Nürnberg;Altenfurt;Hohenzollernstr.;505024300034;19;;;Einfamilienhaus;"VW;Hydrantenleitung;in Betrieb;22.09.2014;100";"(OH) Überflurhydrant;N-ERGIE;25110541;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;Hohenzollernstr.;19;";"VW;Hydrantenleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1982;(HOB) Hoher Bühl;(St) Stahl ZM;100;PN 16;3.000 m;0.975 m;BP:OK ÜP:OK  NL:OK ;;;";657490.025 m;5474506.568 m;;;25110541;49.402854;11.170834;;
Hydrantenleitung;20.09.19;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;;;80;PN 16;(Fl) Flansch;2019;90475;Nürnberg;Moorenbrunn;Ossiacher Str.;508119600002;13;;;Einfamilienhaus;"VW;Hydrantenleitung;in Betrieb;20.09.2019;100";"(UH) Unterflurhydrant;N-ERGIE;30004183;(36)Altenfurt/Moorenbrunn";"Nürnberg;Moorenbrunn;Ossiacher Str.;13;";"VW;Hydrantenleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1972;(HOB) Hoher Bühl;(PVC) Polyvinylchlorid;100;PN 10;1.200 m;1.201 m;BP:OK ÜP:OK  NL:OK ;;;";657434.469 m;5473823.279 m;;;30004183;49.396726;11.169798;;
Hydrantenleitung;01.01.50;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(OH) Überflurhydrant;ja;162,656;Leistung der Hydranten nicht aufsummieren! ;100;PN 16;(Fl) Flansch;1950;90475;Nürnberg;Altenfurt;Wichernstr.;511192400038;19;;;Zweifamilienhaus;"VW;Hydrantenleitung;in Betrieb;01.01.1950;100";"(OH) Überflurhydrant;N-ERGIE;2684365;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;Wichernstr.;19;";"VW;Hydrantenleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1950;(HOB) Hoher Bühl;(GG) Grauguß;100;PN 10;2.500 m;1.618 m;BP:OK ÜP:OK  NL:OK ;;;";657139.487 m;5475283.406 m;;;2684365;49.409927;11.166313;;
Hydrantenleitung;01.01.50;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;74,813;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;1950;90475;Nürnberg;Fischbach;Pellergasse;508299200001;22;;;Einfamilienhaus;"VW;Hydrantenleitung;in Betrieb;01.01.1950;100";"(UH) Unterflurhydrant;N-ERGIE;2803393;(37)Fischbach";"Nürnberg;Fischbach;Pellergasse;22;";"VW;Hydrantenleitung;(37)Fischbach;in Betrieb;01.01.1950;(HOB) Hoher Bühl;(GG) Grauguß;100;PN 10;1.300 m;1.299 m;BP:OK ÜP:OK  NL:OK ;;;";658999.726 m;5476730.969 m;;;2803393;49.422455;11.192518;;
Hydrantenleitung;18.02.22;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(OH) Überflurhydrant;nein;;;80;PN 16;(Fl) Flansch;2022;90475;Nürnberg;Moorenbrunn;Moorenbrunner Str.;507576000001;32;;;Einfamilienhaus;"VW;Hydrantenleitung;in Betrieb;18.02.2022;100";"(OH) Überflurhydrant;N-ERGIE;32135131;(36)Altenfurt/Moorenbrunn";"Nürnberg;Moorenbrunn;Moorenbrunner Str.;32;";"VW;Hydrantenleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;01.01.1949;(HOB) Hoher Bühl;(GG) Grauguß;100;PN 10;1.315 m;1.153 m;BP:OK ÜP:OK  NL:OK ;;;";657723.166 m;5473397.536 m;;;32135131;49.392825;11.173605;;
Hydrantenleitung;01.01.03;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(UH) Unterflurhydrant;ja;85,125;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;2003;90475;Nürnberg;Fischbach;Augraben;501514900001;1;;;Einfamilienhaus;"VW;Hydrantenleitung;in Betrieb;01.01.2003;80";"(UH) Unterflurhydrant;N-ERGIE;6967396;(37)Fischbach";"Nürnberg;Fischbach;Augraben;1;";"VW;Hydrantenleitung;(37)Fischbach;in Betrieb;01.01.2003;(HOB) Hoher Bühl;(GGG) duktiles Gußeisen ZM;80;PN 16;1.100 m;1.766 m;BP:OK ÜP:OK  NL:OK ;;;";658964.013 m;5476942.388 m;;;6967396;49.424365;11.192111;;
Hydrantenleitung;01.01.50;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(OH) Überflurhydrant;nein;94,875;Leistung der Hydranten nicht aufsummieren! ;100;PN 16;(Fl) Flansch;1950;90475;Nürnberg;Fischbach;Tolstoistr.;510412300006;18;;;Mehrfamilienhaus;"VW;Hydrantenleitung;in Betrieb;01.01.1950;100";"(OH) Überflurhydrant;N-ERGIE;2788147;(37)Fischbach";"Nürnberg;Fischbach;Tolstoistr.;18;";"VW;Hydrantenleitung;(37)Fischbach;in Betrieb;01.01.1950;(HOB) Hoher Bühl;(GG) Grauguß;100;PN 10;2.179 m;2.179 m;BP:OK ÜP:OK  NL:OK ;;;";658983.982 m;5476292.270 m;;;2788147;49.418516;11.192126;;
Versorgungsleitung;18.09.18;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;;;80;PN 16;(Fl) Flansch;2018;90475;Nürnberg;Fischbach;Feuchter Str.;503383000001;7;;Vordergebäude 1;Einfamilienhaus;"VW;Versorgungsleitung;in Betrieb;18.09.2018;100";"(UH) Unterflurhydrant;N-ERGIE;29169762;(37)Fischbach";"Nürnberg;Fischbach;Feuchter Str.;7;";"VW;Versorgungsleitung;(37)Fischbach;in Betrieb;18.09.2018;(HOB) Hoher Bühl;125*11,4 PE-100;100;PN 10;17.500 m;17.548 m;BP:OK ÜP:OK  NL:OK ;;;";659355.392 m;5476194.072 m;;;29169762;49.417536;11.197203;;
Hydrantenleitung;01.01.92;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(UH) Unterflurhydrant;ja;57,656;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;1992;90475;Nürnberg;Fischbach;Augraben;501514900001;28;;;Zweifamilienhaus;"VW;Hydrantenleitung;in Betrieb;01.01.1992;100";"(UH) Unterflurhydrant;N-ERGIE;2806722;(37)Fischbach";"Nürnberg;Fischbach;Augraben;28;";"VW;Hydrantenleitung;(37)Fischbach;in Betrieb;01.01.1983;(HOB) Hoher Bühl;(GGG) duktiles Gußeisen ZM;100;PN 16;1.658 m;1.823 m;BP:OK ÜP:OK  NL:OK ;;;";658770.591 m;5477053.322 m;;;2806722;49.425412;11.189490;;
Hydrantenleitung;01.01.82;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(UH) Unterflurhydrant;ja;96,844;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;1982;90475;Nürnberg;Fischbach;Fischbacher Hauptstr.;503411700001;169;;;Zweifamilienhaus;"VW;Hydrantenleitung;in Betrieb;01.01.1982;100";"(UH) Unterflurhydrant;N-ERGIE;2789041;(37)Fischbach";"Nürnberg;Fischbach;Fischbacher Hauptstr.;169;";"VW;Hydrantenleitung;(37)Fischbach;in Betrieb;01.01.1982;(HOB) Hoher Bühl;(GGG) duktiles Gußeisen ZM;100;PN 16;2.000 m;1.999 m;BP:OK ÜP:OK  NL:OK ;;;";658895.630 m;5476467.754 m;;;2789041;49.420116;11.190979;;
Hydrantenleitung;01.01.88;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(OH) Überflurhydrant;nein;117;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;1988;90475;Nürnberg;Fischbach;Fischbacher Hauptstr.;503411700001;181;;;landwirts. Gebäude;"VW;Hydrantenleitung;in Betrieb;01.01.1988;80";"(OH) Überflurhydrant;N-ERGIE;4006213;(37)Fischbach";"Nürnberg;Fischbach;Fischbacher Hauptstr.;181;";"VW;Hydrantenleitung;(37)Fischbach;in Betrieb;01.01.1988;(HOB) Hoher Bühl;(GGG) duktiles Gußeisen ZM;80;PN 16;3.587 m;3.586 m;BP:OK ÜP:OK  NL:OK ;;;";658977.375 m;5476526.643 m;;;4006213;49.420624;11.192128;;
Versorgungsleitung;01.01.89;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(UH) Unterflurhydrant;nein;128,25;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;1989;90475;Nürnberg;Fischbach;Hirtenwiesenstr.;504945600001;21;;;Einfamilienhaus;"VW;Versorgungsleitung;in Betrieb;01.01.1989;100";"(UH) Unterflurhydrant;N-ERGIE;2804486;(37)Fischbach";"Nürnberg;Fischbach;Hirtenwiesenstr.;21;";"VW;Versorgungsleitung;(37)Fischbach;in Betrieb;01.01.1989;(HOB) Hoher Bühl;(GGG) duktiles Gußeisen ZM;100;PN 16;27.400 m;27.043 m;BP:OK ÜP:N.OK  NL:OK ;;;";659241.299 m;5476584.147 m;;;2804486;49.421072;11.195788;;
Hydrantenleitung;21.04.21;N-ERGIE;(36)Altenfurt/Moorenbrunn;(HOB) Hoher Bühl;(OH) Überflurhydrant;nein;;;80;PN 16;(Fl) Flansch;2021;90475;Nürnberg;Altenfurt;Oelser Str.;508036200004;8908;;;Hydrant;"VW;Hydrantenleitung;in Betrieb;21.04.2021;80";"(OH) Überflurhydrant;N-ERGIE;31624324;(36)Altenfurt/Moorenbrunn";"Nürnberg;Altenfurt;Oelser Str.;8908;";"VW;Hydrantenleitung;(36)Altenfurt/Moorenbrunn;in Betrieb;21.04.2021;(HOB) Hoher Bühl;(GGG) duktiles Gußeisen ZM;80;PN 16;0.100 m;1.000 m;BP:OK ÜP:OK  NL:OK ;;;";657796.157 m;5474188.089 m;;;31624324;49.399912;11.174924;;
Versorgungsleitung;10.05.05;N-ERGIE;(37)Fischbach;(HOB) Hoher Bühl;(UH) Unterflurhydrant;ja;280,5;Leistung der Hydranten nicht aufsummieren! ;80;PN 16;(Fl) Flansch;2005;90475;Nürnberg;Fischbach;Bärenbühlgraben;502361100001;71;;;Einfamilienhaus;"VW;Versorgungsleitung;in Betrieb;01.01.2005;40";"(UH) Unterflurhydrant;N-ERGIE;12521567;(37)Fischbach";"Nürnberg;Fischbach;Bärenbühlgraben;71;";"VW;Versorgungsleitung;(37)Fischbach;in Betrieb;19.04.2005;(HOB) Hoher Bühl;50*4.6 PE-X;40;PN 10;4.700 m;6.959 m;BP:OK ÜP:N.OK  NL:OK ;;;";658221.266 m;5477124.299 m;;;12521567;49.426193;11.181949;;
